variant,model,seed,status,error,accuracy_test,balanced_accuracy_test,precision_macro_test,recall_macro_test,f1_macro_test,fit_seconds_test,prediction_seconds_test,total_seconds_test,log_loss_test,roc_auc_test,accuracy_ood,balanced_accuracy_ood,precision_macro_ood,recall_macro_ood,f1_macro_ood,fit_seconds_ood,prediction_seconds_ood,total_seconds_ood,log_loss_ood,roc_auc_ood,accuracy_drop,roc_auc_drop
deep_causal_chain,CatBoost,0,success,,0.955,0.9544266907848458,0.9551127214170693,0.9544266907848458,0.9547454431175362,1.2045889617875218,0.0011762985959649086,1.2057652603834867,0.0774803224633751,0.9960807958999096,0.925,0.9250425042504251,0.925,0.9250425042504251,0.9249981249531238,1.1504657082259655,0.0009480239823460579,1.1514137322083116,0.20499719667667524,0.9830983098309831,0.029999999999999916,0.012982486068926491
deep_causal_chain,RealMLP-TD,0,success,,0.955,0.9544266907848458,0.9551127214170693,0.9544266907848458,0.9547454431175362,15.129031690768898,0.040699793957173824,15.169731484726071,0.13218507170677185,0.9919606069741733,0.92,0.9198919891989199,0.9202282053848464,0.9198919891989199,0.9199679871948779,15.235678083263338,0.13422294612973928,15.369901029393077,0.24447135627269745,0.9531953195319532,0.03499999999999992,0.038765287442220075
deep_causal_chain,TabPFN-v2,0,success,,0.97,0.9698522761531505,0.9698522761531505,0.9698522761531505,0.9698522761531505,0.9176481757313013,1.1299300668761134,2.0475782426074147,0.06819912791252136,0.9970857200281379,0.95,0.9499949994999499,0.9499949994999499,0.9499949994999499,0.9499949994999499,0.7546277269721031,1.0555088529363275,1.8101365799084306,0.1300661265850067,0.9906990699069906,0.020000000000000018,0.006386650121147253
deep_causal_chain,TabPFN-v3,0,success,,0.97,0.9705557230429103,0.9694235588972431,0.9705557230429103,0.969891609795263,2.995467396453023,0.7026532711461186,3.6981206675991416,0.06997504085302353,0.9967842427896695,0.95,0.9497949794979498,0.9508771929824562,0.9497949794979498,0.9499549594635172,2.5436195209622383,0.8242730963975191,3.3678926173597574,0.12924998998641968,0.9906990699069906,0.020000000000000018,0.0060851728826788465
deep_causal_chain,TabICL-v2,0,success,,0.965,0.9651793789568888,0.9645724608590928,0.9651793789568888,0.964851497577264,0.7973430855199695,0.6150411041453481,1.4123841896653175,0.06912929564714432,0.996985227615315,0.945,0.944944494449445,0.945078031212485,0.944944494449445,0.9449876222149984,0.71529705170542,0.4063125988468528,1.1216096505522728,0.13425001502037048,0.9903990399039904,0.020000000000000018,0.006586187711324687
deep_causal_chain,CatBoost,1,success,,0.97,0.9699248120300752,0.9699248120300752,0.9699248120300752,0.9699248120300752,1.2022555470466614,0.0009959042072296143,1.203251451253891,0.052214083717250705,0.998095238095238,0.945,0.944110275689223,0.9458534621578101,0.944110275689223,0.9447666390499863,1.1459906231611967,0.0010167192667722702,1.147007342427969,0.1284959539179164,0.992080200501253,0.025000000000000022,0.006015037593985029
deep_causal_chain,RealMLP-TD,1,success,,0.985,0.9857142857142858,0.9846938775510203,0.9857142857142858,0.9849816024630171,15.43217677809298,0.03804408758878708,15.470220865681767,0.09911657124757767,0.9995989974937344,0.96,0.9583959899749374,0.9628504909403786,0.9583959899749374,0.9597423510466989,15.685925493016839,0.05565479304641485,15.741580286063254,0.1548454612493515,0.9935839598997495,0.025000000000000022,0.006015037593984918
deep_causal_chain,TabPFN-v2,1,success,,0.99,0.9899749373433584,0.9899749373433584,0.9899749373433584,0.9899749373433584,1.0535192275419831,1.1196726225316525,2.1731918500736356,0.038252972066402435,0.9997994987468672,0.965,0.9636591478696742,0.9671717171717171,0.9636591478696742,0.9648020113136393,0.7325997836887836,1.0570779480040073,1.789677731692791,0.10803097486495972,0.9933834586466166,0.025000000000000022,0.006416040100250653
deep_causal_chain,TabPFN-v3,1,success,,0.99,0.9899749373433584,0.9899749373433584,0.9899749373433584,0.9899749373433584,3.2872708532959223,0.9218445979058743,4.2091154512017965,0.036634787917137146,0.9998997493734335,0.96,0.9588972431077694,0.9614880532311725,0.9588972431077694,0.9598030348708673,2.7497827764600515,0.5956746134907007,3.3454573899507523,0.10918951779603958,0.993483709273183,0.030000000000000027,0.006416040100250542
deep_causal_chain,TabICL-v2,1,success,,0.99,0.9899749373433584,0.9899749373433584,0.9899749373433584,0.9899749373433584,0.6673820912837982,0.5835740761831403,1.2509561674669385,0.038697950541973114,0.9996992481203008,0.965,0.9636591478696742,0.9671717171717171,0.9636591478696742,0.9648020113136393,0.7011065203696489,0.4037797274067998,1.1048862477764487,0.09977135807275772,0.9937844611528822,0.025000000000000022,0.005914786967418539
