model,dataset_variant,logical_operator,n_noise_features,n_successful_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,fit_seconds_mean,fit_seconds_std,prediction_seconds_mean,prediction_seconds_std,total_seconds_mean,total_seconds_std,log_loss_mean,log_loss_std,roc_auc_mean,roc_auc_std
catboost,L1,AND,0,5,0.9975999999999999,0.0021908902300206714,0.9983858656790817,0.001474921496787295,0.9953571428571429,0.004268410098261848,0.9983858656790817,0.001474921496787295,0.9968511172631599,0.0028832596342978534,2.872779219999211,0.5078072894116141,0.012863400008063719,0.01179604638565378,2.8856426200072747,0.5193582933304425,0.00792944902811776,0.008508915048043412,0.9999671045756677,4.511397019680776e-05
catboost,L1,AND,4,5,0.9984,0.002190890230020659,0.9989094258885058,0.0014940783054245576,0.9970238095238095,0.004090382565096868,0.9989094258885058,0.0014940783054245576,0.9979539205892147,0.002805952278273716,2.835821959999157,0.1892406709901786,0.004473199998028541,0.0022501222737233493,2.8402951599971855,0.1902611070110998,0.007126219821412561,0.00709782452029752,0.9999499460307124,7.600296310739654e-05
catboost,L2,OR,0,5,0.9944,0.006693280212272602,0.9951883813160988,0.004787673674254106,0.9907269627218476,0.0125859613615749,0.9951883813160988,0.004787673674254106,0.9928275457078579,0.008519302871699832,2.5915356199955566,0.30338717309729546,0.00348900000099086,0.0006869917217290715,2.595024619996548,0.3028318114772622,0.012915493312170661,0.012107193036180304,0.999983367983368,3.7190319792049126e-05
catboost,L2,OR,4,5,0.9960000000000001,0.004000000000000007,0.9962694623971797,0.0035428050969636927,0.9935389895442572,0.007704797981020184,0.9962694623971797,0.0035428050969636927,0.9948468867335658,0.005122608569713363,3.014781180006685,0.27543617349020244,0.00377940000034864,0.0008525875846095703,3.0185605800070334,0.27611255368383597,0.010025755930399161,0.007644330083983272,0.9999835309617918,3.682588895749483e-05
catboost,L3,XOR,0,5,0.9456,0.012198360545581504,0.9454103295742005,0.011816340548452802,0.9462337104154768,0.01284398539990104,0.9454103295742005,0.011816340548452802,0.9454733021450294,0.01216807404909702,2.660564379999414,0.07851529672538614,0.00299750000122,0.0008188955344079014,2.663561880000634,0.07843495438135362,0.20672010965603554,0.02851172380282597,0.9891388922826547,0.0033850553652682996
catboost,L3,XOR,4,5,0.6992,0.03398823325799681,0.6985681967433733,0.03365486453102446,0.6992316106905201,0.033578340082256894,0.6985681967433733,0.03365486453102446,0.6983695351632031,0.03367276333781587,3.3594896399998104,0.4043175152472206,0.0060515000019222,0.006147848196135916,3.3655411400017328,0.4087861203751947,0.5554627211748729,0.017512941435190197,0.7913250675478696,0.0200359660296126
limix,L1,AND,0,5,0.9984,0.0021908902300206527,0.9989445248969588,0.0014453442676311355,0.9967460317460317,0.004457887831740802,0.9989445248969588,0.0014453442676311355,0.9978305300072785,0.0029713559024790548,0.00131568000069816,0.0025954189715259976,3.894040500000119,2.1836479949988616,3.8953561800008174,2.18621918835428,0.00567575206700754,0.002784814989171353,1.0,0.0
limix,L1,AND,4,5,0.9984,0.0021908902300206527,0.9989445248969588,0.0014453442676311355,0.9967460317460317,0.004457887831740802,0.9989445248969588,0.0014453442676311355,0.9978305300072785,0.0029713559024790548,0.00013413999695328,3.348899505064447e-05,7.714605599996867,1.1729183089344215,7.71473973999382,1.1728977984643931,0.0031272255683246,0.0017773840316605601,1.0,0.0
limix,L2,OR,0,5,0.9960000000000001,0.0040000000000000036,0.9962446608098782,0.003578776524962742,0.993541834008929,0.0077065481164987765,0.9962446608098782,0.003578776524962742,0.9948357181564477,0.005123008396872634,0.0001457199978176018,5.644876143092986e-05,2.9784933599992653,0.2428656799019822,2.978639079997083,0.24288939057456968,0.0102257623128835,0.005350766953184661,1.0,0.0
limix,L2,OR,4,5,0.9975999999999999,0.0035777087639996775,0.9983725029377203,0.0024288747633591603,0.9955436720142602,0.006602287161332018,0.9983725029377203,0.0024288747633591603,0.9969266531104823,0.004567735306942241,0.0001794399984646,3.2064984256800185e-05,7.845070799998939,1.1987513268403214,7.845250239997403,1.1987660398204802,0.00785891994133556,0.006276638506736952,1.0,0.0
limix,L3,XOR,0,5,0.8952,0.023392306427541535,0.8947829645046346,0.023157594628715743,0.8960732227112725,0.02366430034871132,0.8947829645046346,0.023157594628715743,0.8949225819441595,0.023237326172159522,0.00013279999839136,2.216134184592614e-05,4.618183819996193,0.20436852785052384,4.618316619994585,0.20438914778146963,0.40777775748307493,0.01788542720826813,0.9669706903516364,0.010095219887981234
limix,L3,XOR,4,5,0.54,0.015748015748023637,0.5269174040789262,0.025955844046871047,0.43557533234397605,0.1571187303866209,0.5269174040789262,0.025955844046871047,0.45976800109625016,0.10445753491915126,0.00015239999629552,3.688224706162587e-05,9.362492000008933,1.0013986080186987,9.362644400005228,1.0014352900769137,0.6906133470954584,0.0028262647736351427,0.5228519916149095,0.04560318398885235
