dataset_module,dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
many_class,many_class_02,CatBoost,0,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,1.7410643259063363,0.0025393981486558914,1.7436037240549922,0.000655140609976994,1.0,success,
many_class,many_class_02,RealMLP-TD,0,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,51.69097008369863,0.11953851953148842,51.81050860323012,0.051301732659339905,1.0,success,
many_class,many_class_02,TabPFN-v2,0,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,3.2401566598564386,19.326029490679502,22.56618615053594,4.3407206248957664e-05,1.0,success,
many_class,many_class_02,TabPFN-v3,0,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,3.316500186920166,7.489784029312432,10.806284216232598,1.3015643162361812e-05,1.0,success,
many_class,many_class_02,TabICL-v2,0,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,1.0625776061788201,18.669375782832503,19.731953389011323,1.648118768571294e-06,1.0,success,
many_class,many_class_05,CatBoost,0,5000,10,3750,1250,0.9968,0.9968,0.9968125960061445,0.9968,0.9967999487991808,2.9830401660874486,0.005226648412644863,2.9882668145000935,0.010893120771150566,0.9999895999999999,success,
many_class,many_class_05,RealMLP-TD,0,5000,10,3750,1250,0.9992,0.9992000000000001,0.999203187250996,0.9992000000000001,0.9991999967999871,51.006849743425846,0.06439618952572346,51.07124593295157,0.08502279967069626,1.0,success,
many_class,many_class_05,TabPFN-v2,0,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,1.1867171712219715,18.072838930413127,19.2595561016351,0.0006180067430250347,1.0,success,
many_class,many_class_05,TabPFN-v3,0,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,3.068333619274199,5.122164636850357,8.190498256124556,0.0003707512514665723,1.0,success,
many_class,many_class_05,TabICL-v2,0,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,0.9012890588492155,18.79846159275621,19.699750651605427,0.00023218709975481033,1.0,success,
many_class,many_class_10,CatBoost,0,5000,10,3750,1250,0.9976,0.9975999999999999,0.9976190476190476,0.9975999999999999,0.9975999615993855,5.41134759131819,0.0050481269136071205,5.416395718231797,0.01009428887743932,0.9999900444444444,success,
many_class,many_class_10,RealMLP-TD,0,5000,10,3750,1250,0.996,0.9960000000000001,0.99605625,0.9960000000000001,0.9959996543502264,51.27707536891103,0.06141540315002203,51.33849077206105,0.10155898332595825,0.9998840888888889,success,
many_class,many_class_10,TabPFN-v2,0,5000,10,3750,1250,0.996,0.9960000000000001,0.9960063492063492,0.9960000000000001,0.9959999871997951,0.9712802739813924,18.09449558518827,19.065775859169662,0.01014228817075491,0.9999872,success,
many_class,many_class_10,TabPFN-v3,0,5000,10,3750,1250,0.9984,0.9984,0.9984126984126984,0.9984,0.9983999743995904,3.6976299323141575,5.0989034082740545,8.796533340588212,0.008049016818404198,0.9999928888888888,success,
many_class,many_class_10,TabICL-v2,0,5000,10,3750,1250,0.9976,0.9975999999999999,0.9976315460567429,0.9975999999999999,0.9975998847932412,0.8064571935683489,18.893716442398727,19.700173635967076,0.009136536158621311,0.9999928888888888,success,
many_class,many_class_15,CatBoost,0,5000,10,3750,1250,0.9984,0.9983935742971888,0.998422035480859,0.9983935742971888,0.9983982402775585,7.940240687690675,0.006575345993041992,7.946816033683717,0.004291368115226009,1.0,success,
many_class,many_class_15,RealMLP-TD,0,5000,10,3750,1250,0.9992,0.9991967871485944,0.9992063492063491,0.9991967871485944,0.9991967579991532,50.267725475132465,0.0564524894580245,50.32417796459049,0.10373777151107788,1.0,success,
many_class,many_class_15,TabPFN-v2,0,5000,10,3750,1250,,,,,,,,,,,failed,Number of classes `15` exceeds the maximum number of classes `10` officially supported by TabPFN.
many_class,many_class_15,TabPFN-v3,0,5000,10,3750,1250,0.9992,0.9991967871485944,0.9992063492063491,0.9991967871485944,0.9991967579991532,3.0175165189430118,4.962677072733641,7.980193591676652,0.0011026605498045683,1.0,success,
many_class,many_class_15,TabICL-v2,0,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,0.9450429091230035,32.09419224783778,33.039235156960785,0.0005203743930906057,1.0,success,
many_class,many_class_20,CatBoost,0,5000,10,3750,1250,0.9944,0.9943804403481822,0.9944292041248017,0.9943804403481822,0.9943860200598451,10.675562795251608,0.009234251454472542,10.68479704670608,0.02500841508226482,0.9999682072629597,success,
many_class,many_class_20,RealMLP-TD,0,5000,10,3750,1250,0.9912,0.9911674347158218,0.9913026002894956,0.9911674347158218,0.991172127218646,50.53009680006653,0.05976022407412529,50.589857024140656,0.10053011029958725,0.9999777721752338,success,
many_class,many_class_20,TabPFN-v2,0,5000,10,3750,1250,,,,,,,,,,,failed,Number of classes `20` exceeds the maximum number of classes `10` officially supported by TabPFN.
many_class,many_class_20,TabPFN-v3,0,5000,10,3750,1250,0.9928,0.9927803379416282,0.9928410618279571,0.9927803379416282,0.9927730493497936,3.657430024817586,4.989117173478007,8.646547198295593,0.018008112907409668,0.9999742861080062,success,
many_class,many_class_20,TabICL-v2,0,5000,10,3750,1250,0.9928,0.9927803379416282,0.9928547230301428,0.9927803379416282,0.9927863773519263,0.7066821185871959,32.02540634293109,32.73208846151829,0.016198795288801193,0.9999803853776325,success,
many_class,many_class_25,CatBoost,0,5000,10,3750,1250,0.9984,0.9984000000000001,0.9984313725490196,0.9984000000000001,0.9983998399839984,12.895382589660585,0.006549659185111523,12.901932248845696,0.008359402860077228,0.9999986666666666,success,
many_class,many_class_25,RealMLP-TD,0,5000,10,3750,1250,0.9976,0.9976,0.9976772247360484,0.9976,0.9975992797358967,50.81483646761626,0.06065032258629799,50.87548679020256,0.10516513884067535,0.9999966666666665,success,
many_class,many_class_25,TabPFN-v2,0,5000,10,3750,1250,,,,,,,,,,,failed,Number of classes `25` exceeds the maximum number of classes `10` officially supported by TabPFN.
many_class,many_class_25,TabPFN-v3,0,5000,10,3750,1250,0.9984,0.9984000000000001,0.9984615384615384,0.9984000000000001,0.9983993597438976,3.5935990307480097,4.9268659465014935,8.520464977249503,0.0029024300165474415,1.0,success,
many_class,many_class_25,TabICL-v2,0,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,0.8275894317775965,30.728881688788533,31.55647112056613,0.001553032547235489,1.0,success,
many_class,many_class_02,CatBoost,1,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,1.7463352931663394,0.002787075936794281,1.7491223691031337,0.00046784148856403204,1.0,success,
many_class,many_class_02,RealMLP-TD,1,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,51.71741627249867,0.07182363048195839,51.789239902980626,0.051298100501298904,1.0,success,
many_class,many_class_02,TabPFN-v2,1,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,0.8988505387678742,18.083052665926516,18.98190320469439,9.086694626603276e-05,1.0,success,
many_class,many_class_02,TabPFN-v3,1,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,2.8626311495900154,5.192228615283966,8.054859764873981,1.3306100299814716e-05,1.0,success,
many_class,many_class_02,TabICL-v2,1,5000,10,3750,1250,1.0,1.0,1.0,1.0,1.0,0.7020864076912403,18.731563013978302,19.433649421669543,4.54235851066187e-06,1.0,success,
many_class,many_class_05,CatBoost,1,5000,10,3750,1250,0.9992,0.9992000000000001,0.999203187250996,0.9992000000000001,0.9991999967999872,2.775554076768458,0.0037802672013640404,2.779334343969822,0.0015873357311874945,1.0,success,
many_class,many_class_05,RealMLP-TD,1,5000,10,3750,1250,0.9992,0.9992000000000001,0.999203187250996,0.9992000000000001,0.9991999967999872,50.46262690983713,0.06137027498334646,50.52399718482047,0.08441202342510223,1.0,success,
many_class,many_class_05,TabPFN-v2,1,5000,10,3750,1250,0.9992,0.9992000000000001,0.999203187250996,0.9992000000000001,0.9991999967999872,0.9700615098699927,18.119651421904564,19.089712931774557,0.00130168825853616,1.0,success,
