variant,model,seed,status,error,accuracy_test,balanced_accuracy_test,precision_macro_test,recall_macro_test,f1_macro_test,fit_seconds_test,prediction_seconds_test,total_seconds_test,log_loss_test,roc_auc_test,accuracy_ood,balanced_accuracy_ood,precision_macro_ood,recall_macro_ood,f1_macro_ood,fit_seconds_ood,prediction_seconds_ood,total_seconds_ood,log_loss_ood,roc_auc_ood,accuracy_drop,roc_auc_drop
deep_causal_chain_hidden,CatBoost,0,success,,0.825,0.8216762134458848,0.826499388004896,0.8216762134458848,0.8230491165095175,1.2106366148218513,0.0010136384516954422,1.2116502532735467,0.3332342091807998,0.9326700834087026,0.73,0.7305730573057305,0.7333738232614637,0.7305730573057305,0.7293233082706767,1.111579518765211,0.0013866890221834183,1.1129662077873945,0.5015549457508384,0.8371837183718371,0.09499999999999997,0.09548636503686547
deep_causal_chain_hidden,RealMLP-TD,0,success,,0.845,0.8431815897899708,0.8449494949494949,0.8431815897899708,0.843871975019516,16.128881364129484,0.04919262416660786,16.17807398829609,0.35283389687538147,0.9344789468395136,0.865,0.8648364836483649,0.8653846153846154,0.8648364836483649,0.8649155722326454,15.88391746673733,0.045351811684668064,15.929269278421998,0.3537498712539673,0.933893389338934,-0.020000000000000018,0.0005855575005796476
deep_causal_chain_hidden,TabPFN-v2,0,success,,0.84,0.8371017988141896,0.8412165598616621,0.8371017988141896,0.8383838383838383,2.836371491663158,1.99715462513268,4.833526116795838,0.3135811984539032,0.93719224198573,0.855,0.8549354935493549,0.8550420168067226,0.8549354935493549,0.854967367657723,0.709216040559113,0.5922405524179339,1.301456592977047,0.3374139368534088,0.9343934393439344,-0.015000000000000013,0.0027988026417956613
deep_causal_chain_hidden,TabPFN-v3,0,success,,0.84,0.8371017988141896,0.8412165598616621,0.8371017988141896,0.8383838383838383,2.998190486803651,1.422241896390915,4.420432383194566,0.3142358362674713,0.9370917495729072,0.85,0.84998499849985,0.84998499849985,0.84998499849985,0.84998499849985,2.673323075287044,0.6009999262169003,3.2743230015039444,0.3531029224395752,0.9265926592659266,-0.010000000000000009,0.010499090306980596
deep_causal_chain_hidden,TabICL-v2,0,success,,0.84,0.8371017988141896,0.8412165598616621,0.8371017988141896,0.8383838383838383,0.8077817801386118,0.6697459733113647,1.4775277534499764,0.31427133083343506,0.9369912571600845,0.85,0.84998499849985,0.84998499849985,0.84998499849985,0.84998499849985,0.7395362043753266,0.33391525875777006,1.0734514631330967,0.3534132242202759,0.9278927892789278,-0.010000000000000009,0.009098467881156647
deep_causal_chain_hidden,CatBoost,1,success,,0.835,0.8363408521303258,0.8356342537014806,0.8363408521303258,0.8349628666449951,1.1078070057556033,0.0010157739743590355,1.1088227797299623,0.37634636780914976,0.9058646616541354,0.825,0.8223057644110275,0.8279273765809874,0.8223057644110275,0.823406241327985,1.1210254980251193,0.0020386604592204094,1.1230641584843397,0.4326436785192626,0.8776441102756892,0.010000000000000009,0.028220551378446146
deep_causal_chain_hidden,RealMLP-TD,1,success,,0.83,0.8305764411027569,0.8297829782978298,0.8305764411027569,0.8298468621759583,15.722367295995355,0.04817162547260523,15.77053892146796,0.37332648038864136,0.9191979949874687,0.835,0.8333333333333334,0.8358585858585859,0.8333333333333334,0.8340666247642992,15.818089167587459,0.04671505652368069,15.86480422411114,0.4201319217681885,0.9059649122807018,-0.0050000000000000044,0.01323308270676693
deep_causal_chain_hidden,TabPFN-v2,1,success,,0.835,0.8358395989974937,0.835,0.8358395989974937,0.8348968105065666,0.9443044373765588,0.6670704893767834,1.6113749267533422,0.35112738609313965,0.9194486215538847,0.835,0.8328320802005013,0.8368506493506493,0.8328320802005013,0.8337991992143234,0.6914156004786491,0.5915782311931252,1.2829938316717744,0.36769774556159973,0.9121804511278195,0.0,0.007268170426065201
deep_causal_chain_hidden,TabPFN-v3,1,success,,0.835,0.8358395989974937,0.835,0.8358395989974937,0.8348968105065666,2.994316862896085,0.714926770888269,3.7092436337843537,0.35088181495666504,0.9192982456140351,0.835,0.8328320802005013,0.8368506493506493,0.8328320802005013,0.8337991992143234,2.559429488144815,0.7876028539612889,3.347032342106104,0.369048148393631,0.912280701754386,0.0,0.007017543859649034
deep_causal_chain_hidden,TabICL-v2,1,success,,0.84,0.8406015037593986,0.8397839783978398,0.8406015037593986,0.8398558702832549,0.747528919018805,0.5510019082576036,1.2985308272764087,0.3491457402706146,0.9191979949874687,0.83,0.8280701754385965,0.8312582245166514,0.8280701754385965,0.8289049919484701,0.7406363161280751,0.35063394345343113,1.0912702595815063,0.37923675775527954,0.9056641604010026,0.010000000000000009,0.013533834586466065
