dataset_module,dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
deep_causal_chain,deep_causal_chain,CatBoost,0,2400,6,1800,600,0.9383333333333334,0.9377108125257427,0.9388392857142858,0.9377108125257427,0.9381462256659729,1.5549945244565606,0.0023520449176430702,1.5573465693742037,0.17255328896548433,0.9832017900279413,success,
deep_causal_chain,deep_causal_chain,TabPFN-v2,0,2400,6,1800,600,0.94,0.9393082566151996,0.9406424814926473,0.9393082566151996,0.9398067126662282,3.5022229878231883,4.66104238294065,8.163265370763838,0.1611996442079544,0.9844374436441763,success,
deep_causal_chain,deep_causal_chain,TabPFN-v3,0,2400,6,1800,600,0.935,0.9345159243468291,0.9352669610598153,0.9345159243468291,0.9348260216856665,3.0553568433970213,3.884031707420945,6.9393885508179665,0.1619134247303009,0.9840589551491132,success,
deep_causal_chain,deep_causal_chain,TabICL-v2,0,2400,6,1800,600,0.9383333333333334,0.9377108125257427,0.9388392857142858,0.9377108125257427,0.9381462256659729,0.7024743985384703,5.263626185245812,5.966100583784282,0.16352945566177368,0.9840366911199919,success,
deep_causal_chain,deep_causal_chain_hidden,CatBoost,0,2400,2,1800,600,0.6383333333333333,0.6335285146552971,0.640951821386604,0.6335285146552971,0.631277417016179,1.3876272607594728,0.0018802657723426819,1.3895075265318155,0.6419251434414299,0.6799211853369105,success,
deep_causal_chain,deep_causal_chain_hidden,TabPFN-v2,0,2400,2,1800,600,0.67,0.6657612628157318,0.673082958468459,0.6657612628157318,0.6646189981480645,0.7375980261713266,1.6385587062686682,2.376156732439995,0.6202749609947205,0.715237501530652,success,
deep_causal_chain,deep_causal_chain_hidden,TabPFN-v3,0,2400,2,1800,600,0.6616666666666666,0.6589317718827576,0.6618047055623555,0.6589317718827576,0.6587996358288395,3.523988245986402,1.4051258005201817,4.929114046506584,0.6240230202674866,0.7102113969565073,success,
deep_causal_chain,deep_causal_chain_hidden,TabICL-v2,0,2400,2,1800,600,0.6666666666666666,0.6632899555832619,0.6678337280746919,0.6632899555832619,0.6628304261823413,0.744550472125411,4.7634621085599065,5.5080125806853175,0.6241210103034973,0.7100833787890595,success,
deep_causal_chain,deep_causal_chain_8hop,CatBoost,0,2400,2,1800,600,0.54,0.5386154461784713,0.5393716850265198,0.5386154461784713,0.537037037037037,1.3670156290754676,0.002393455244600773,1.3694090843200684,0.6935346729368145,0.551170468187275,success,
deep_causal_chain,deep_causal_chain_8hop,TabPFN-v2,0,2400,2,1800,600,0.58,0.5788315326130452,0.5799512987012987,0.5788315326130452,0.5779318661441061,0.7207229407504201,1.8525852505117655,2.5733081912621856,0.6766243577003479,0.5996787603930461,success,
deep_causal_chain,deep_causal_chain_8hop,TabPFN-v3,0,2400,2,1800,600,0.5883333333333334,0.5876684006936108,0.5880648511037416,0.5876684006936108,0.5874980168173886,3.427615301683545,1.6382139632478356,5.065829264931381,0.6761717796325684,0.600895913921124,success,
deep_causal_chain,deep_causal_chain_8hop,TabICL-v2,0,2400,2,1800,600,0.57,0.5698946245164732,0.5698790896159318,0.5698946245164732,0.5698805223673242,0.7702769227325916,4.816981058567762,5.587257981300354,0.6766098141670227,0.59890622915833,success,
deep_causal_chain,deep_causal_chain,CatBoost,1,2400,6,1800,600,0.9416666666666667,0.9416666666666667,0.9417108377504417,0.9416666666666667,0.9416652082968742,1.4322492126375437,0.0020679617300629616,1.4343171743676066,0.12723183393489176,0.9900333333333333,success,
deep_causal_chain,deep_causal_chain,TabPFN-v2,1,2400,6,1800,600,0.945,0.9450000000000001,0.9452424097564229,0.9450000000000001,0.9449925128698073,0.7587311258539557,3.082705535925925,3.8414366617798805,0.11961174011230469,0.9913444444444444,success,
deep_causal_chain,deep_causal_chain,TabPFN-v3,1,2400,6,1800,600,0.9433333333333334,0.9433333333333334,0.9436488169364882,0.9433333333333334,0.9433232574679943,3.4973782217130065,1.5140195386484265,5.011397760361433,0.12000958621501923,0.9914444444444445,success,
deep_causal_chain,deep_causal_chain,TabICL-v2,1,2400,6,1800,600,0.9466666666666667,0.9466666666666667,0.9468454048285981,0.9466666666666667,0.9466613327999467,0.8158045299351215,5.292416563257575,6.108221093192697,0.11913936585187912,0.9913722222222222,success,
deep_causal_chain,deep_causal_chain_hidden,CatBoost,1,2400,2,1800,600,0.665,0.665,0.6658124811576726,0.665,0.6645891216740507,1.402187722735107,0.0020487187430262566,1.4042364414781332,0.6089675016761847,0.7233444444444443,success,
deep_causal_chain,deep_causal_chain_hidden,TabPFN-v2,1,2400,2,1800,600,0.68,0.6799999999999999,0.6800720288115246,0.6799999999999999,0.67996799679968,0.7773274192586541,1.6823095437139273,2.4596369629725814,0.6074162125587463,0.7356333333333334,success,
deep_causal_chain,deep_causal_chain_hidden,TabPFN-v3,1,2400,2,1800,600,0.6866666666666666,0.6866666666666668,0.6866998577524893,0.6866666666666668,0.6866527401217832,3.3406953178346157,1.6388823259621859,4.979577643796802,0.6030956506729126,0.7421666666666666,success,
deep_causal_chain,deep_causal_chain_hidden,TabICL-v2,1,2400,2,1800,600,0.6883333333333334,0.6883333333333334,0.688502986020752,0.6883333333333334,0.6882631925516575,0.87919816467911,5.033575816079974,5.912773980759084,0.6023111343383789,0.7419833333333333,success,
deep_causal_chain,deep_causal_chain_8hop,CatBoost,1,2400,2,1800,600,0.5,0.4984486037433691,0.49843327081391303,0.4984486037433691,0.49776785714285715,1.3135815933346748,0.002339809201657772,1.3159214025363326,0.714608572260163,0.5324903524282966,success,
deep_causal_chain,deep_causal_chain_8hop,TabPFN-v2,1,2400,2,1800,600,0.5566666666666666,0.5538651452974344,0.5558322094269808,0.5538651452974344,0.5512366298883153,0.7480174442753196,1.6529784752056003,2.40099591948092,0.6891365647315979,0.57128637996419,success,
deep_causal_chain,deep_causal_chain_8hop,TabPFN-v3,1,2400,2,1800,600,0.5566666666666666,0.5544656857838721,0.5556692242114237,0.5544656857838721,0.5530463420371676,3.0217282623052597,1.3985756048932672,4.420303867198527,0.6883643865585327,0.5728266551007016,success,
deep_causal_chain,deep_causal_chain_8hop,TabICL-v2,1,2400,2,1800,600,0.55,0.547793013712341,0.548849104859335,0.547793013712341,0.5463252343986289,0.6300845379009843,4.775475030764937,5.405559568665922,0.6904059648513794,0.5688452940980215,success,
deep_causal_chain,deep_causal_full,CatBoost,0,3600,5,2700,900,0.8355555555555556,0.8358536440728221,0.8356214443742098,0.8358536440728221,0.8355352512655884,1.783559376373887,0.002714649774134159,1.7862740261480212,0.34323524296030616,0.9276769653481982,success,
deep_causal_chain,deep_causal_full,TabPFN-v2,0,3600,5,2700,900,0.8433333333333334,0.8434887030777442,0.8432597004311303,0.8434887030777442,0.8432898027229786,3.7293003369122744,6.657443162985146,10.38674349989742,0.33249783515930176,0.9323568364664255,success,
deep_causal_chain,deep_causal_full,TabPFN-v3,0,3600,5,2700,900,0.8444444444444444,0.8446302555891597,0.8443919879898862,0.8446302555891597,0.8444067947305768,3.8839538944885135,6.277840825729072,10.161794720217586,0.33163756132125854,0.9325792168257921,success,
deep_causal_chain,deep_causal_full,TabICL-v2,0,3600,5,2700,900,0.8444444444444444,0.8445709541599953,0.8443531340747911,0.8445709541599953,0.84439526566421,0.9060995196923614,9.938545633107424,10.844645152799785,0.33123770356178284,0.9325174445037459,success,
deep_causal_chain,deep_causal_spur_only,CatBoost,0,3600,1,2700,900,0.7977777777777778,0.7972780644013521,0.7979140666785522,0.7972780644013521,0.7974537037037037,1.5880784522742033,0.002598733641207218,1.5906771859154105,0.41518493644943166,0.8902157583664434,success,
deep_causal_chain,deep_causal_spur_only,TabPFN-v2,0,3600,1,2700,900,0.8022222222222222,0.802496590167823,0.8022874525916561,0.802496590167823,0.8021978021978022,0.9096739096567035,2.2967147193849087,3.206388629041612,0.4012438952922821,0.8972726284370119,success,
deep_causal_chain,deep_causal_spur_only,TabPFN-v3,0,3600,1,2700,900,0.8011111111111111,0.8014736405147365,0.8012964563526361,0.8014736405147365,0.801099078833164,3.5877433512359858,2.960811885073781,6.548555236309767,0.39944201707839966,0.8975172468323154,success,
deep_causal_chain,deep_causal_spur_only,TabICL-v2,0,3600,1,2700,900,0.8,0.8002727865741563,0.8000651864728192,0.8002727865741563,0.7999753055932831,0.7025597775354981,4.721847692504525,5.424407470040023,0.39924681186676025,0.8972800411156575,success,
deep_causal_chain,deep_causal_full,CatBoost,1,3600,5,2700,900,0.84,0.8400090864646246,0.840022519519386,0.8400090864646246,0.8399992098726413,1.781067457050085,0.0032643135637044907,1.7843317706137896,0.33568021237632134,0.9302613840068346,success,
deep_causal_chain,deep_causal_full,TabPFN-v2,1,3600,5,2700,900,0.85,0.8500461730675213,0.850605413105413,0.8500461730675213,0.8499464623797874,1.3032243140041828,5.416715471073985,6.719939785078168,0.31486010551452637,0.9383478436930552,success,
deep_causal_chain,deep_causal_full,TabPFN-v3,1,3600,5,2700,900,0.8522222222222222,0.8522585296717515,0.8525980702309396,0.8522585296717515,0.852191383140433,3.350598973222077,3.0353775303810835,6.38597650360316,0.31450560688972473,0.9383651277290258,success,
deep_causal_chain,deep_causal_full,TabICL-v2,1,3600,5,2700,900,0.8511111111111112,0.8511498822216406,0.8515387467556544,0.8511498822216406,0.8510750749564092,0.8536508670076728,9.888613784685731,10.742264651693404,0.31418856978416443,0.9384589553528659,success,
deep_causal_chain,deep_causal_spur_only,CatBoost,1,3600,1,2700,900,0.8044444444444444,0.8045274297650853,0.8061724533416745,0.8045274297650853,0.8041969106623682,1.5813975566998124,0.002130039967596531,1.583527596667409,0.4010934744272363,0.896224178884834,success,
deep_causal_chain,deep_causal_spur_only,TabPFN-v2,1,3600,1,2700,900,0.8122222222222222,0.8122632704359034,0.8126569885880421,0.8122632704359034,0.8121700472353433,1.027247148565948,2.2979062078520656,3.3251533564180136,0.3835141956806183,0.9055106444970099,success,
deep_causal_chain,deep_causal_spur_only,TabPFN-v3,1,3600,1,2700,900,0.8122222222222222,0.812268208731895,0.812767094017094,0.812268208731895,0.8121552010532154,3.4117347542196512,3.029342363588512,6.441077117808163,0.38234376907348633,0.9053970636892035,success,
deep_causal_chain,deep_causal_spur_only,TabICL-v2,1,3600,1,2700,900,0.8088888888888889,0.8089126366056129,0.8090347250011116,0.8089126366056129,0.8088737875585231,0.7265703305602074,4.772154946811497,5.498725277371705,0.3832865357398987,0.9055131136450058,success,
deep_causal_chain,deep_causal_full,CatBoost,0,3600,5,2700,900,0.8355555555555556,0.8358536440728221,0.8356214443742098,0.8358536440728221,0.8355352512655884,1.783559376373887,0.002714649774134159,1.7862740261480212,0.34323524296030616,0.9276769653481982,success,
deep_causal_chain,deep_causal_full,TabPFN-v2,0,3600,5,2700,900,0.8433333333333334,0.8434887030777442,0.8432597004311303,0.8434887030777442,0.8432898027229786,3.7293003369122744,6.657443162985146,10.38674349989742,0.33249783515930176,0.9323568364664255,success,
deep_causal_chain,deep_causal_full,TabPFN-v3,0,3600,5,2700,900,0.8444444444444444,0.8446302555891597,0.8443919879898862,0.8446302555891597,0.8444067947305768,3.8839538944885135,6.277840825729072,10.161794720217586,0.33163756132125854,0.9325792168257921,success,
deep_causal_chain,deep_causal_full,TabICL-v2,0,3600,5,2700,900,0.8444444444444444,0.8445709541599953,0.8443531340747911,0.8445709541599953,0.84439526566421,0.9060995196923614,9.938545633107424,10.844645152799785,0.33123770356178284,0.9325174445037459,success,
deep_causal_chain,deep_causal_spur_only,CatBoost,0,3600,1,2700,900,0.7977777777777778,0.7972780644013521,0.7979140666785522,0.7972780644013521,0.7974537037037037,1.5880784522742033,0.002598733641207218,1.5906771859154105,0.41518493644943166,0.8902157583664434,success,
deep_causal_chain,deep_causal_spur_only,TabPFN-v2,0,3600,1,2700,900,0.8022222222222222,0.802496590167823,0.8022874525916561,0.802496590167823,0.8021978021978022,0.9096739096567035,2.2967147193849087,3.206388629041612,0.4012438952922821,0.8972726284370119,success,
deep_causal_chain,deep_causal_spur_only,TabPFN-v3,0,3600,1,2700,900,0.8011111111111111,0.8014736405147365,0.8012964563526361,0.8014736405147365,0.801099078833164,3.5877433512359858,2.960811885073781,6.548555236309767,0.39944201707839966,0.8975172468323154,success,
deep_causal_chain,deep_causal_spur_only,TabICL-v2,0,3600,1,2700,900,0.8,0.8002727865741563,0.8000651864728192,0.8002727865741563,0.7999753055932831,0.7025597775354981,4.721847692504525,5.424407470040023,0.39924681186676025,0.8972800411156575,success,
deep_causal_chain,deep_causal_full,CatBoost,1,3600,5,2700,900,0.84,0.8400090864646246,0.840022519519386,0.8400090864646246,0.8399992098726413,1.781067457050085,0.0032643135637044907,1.7843317706137896,0.33568021237632134,0.9302613840068346,success,
deep_causal_chain,deep_causal_full,TabPFN-v2,1,3600,5,2700,900,0.85,0.8500461730675213,0.850605413105413,0.8500461730675213,0.8499464623797874,1.3032243140041828,5.416715471073985,6.719939785078168,0.31486010551452637,0.9383478436930552,success,
deep_causal_chain,deep_causal_full,TabPFN-v3,1,3600,5,2700,900,0.8522222222222222,0.8522585296717515,0.8525980702309396,0.8522585296717515,0.852191383140433,3.350598973222077,3.0353775303810835,6.38597650360316,0.31450560688972473,0.9383651277290258,success,
deep_causal_chain,deep_causal_full,TabICL-v2,1,3600,5,2700,900,0.8511111111111112,0.8511498822216406,0.8515387467556544,0.8511498822216406,0.8510750749564092,0.8536508670076728,9.888613784685731,10.742264651693404,0.31418856978416443,0.9384589553528659,success,
deep_causal_chain,deep_causal_spur_only,CatBoost,1,3600,1,2700,900,0.8044444444444444,0.8045274297650853,0.8061724533416745,0.8045274297650853,0.8041969106623682,1.5813975566998124,0.002130039967596531,1.583527596667409,0.4010934744272363,0.896224178884834,success,
deep_causal_chain,deep_causal_spur_only,TabPFN-v2,1,3600,1,2700,900,0.8122222222222222,0.8122632704359034,0.8126569885880421,0.8122632704359034,0.8121700472353433,1.027247148565948,2.2979062078520656,3.3251533564180136,0.3835141956806183,0.9055106444970099,success,
deep_causal_chain,deep_causal_spur_only,TabPFN-v3,1,3600,1,2700,900,0.8122222222222222,0.812268208731895,0.812767094017094,0.812268208731895,0.8121552010532154,3.4117347542196512,3.029342363588512,6.441077117808163,0.38234376907348633,0.9053970636892035,success,
deep_causal_chain,deep_causal_spur_only,TabICL-v2,1,3600,1,2700,900,0.8088888888888889,0.8089126366056129,0.8090347250011116,0.8089126366056129,0.8088737875585231,0.7265703305602074,4.772154946811497,5.498725277371705,0.3832865357398987,0.9055131136450058,success,
