dataset_module,dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,status,error,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc
textual_tables,text_sentiment_clean,CatBoost,0,1200,1,900,300,failed,"Bad value for num_feature[non_default_doc_idx=0,feature_idx=0]=""Delivery experience was reliable this time."": Cannot convert 'Delivery experience was reliable this time.' to float",,,,,,,,,,
textual_tables,text_sentiment_clean,RealMLP-TD,0,1200,1,900,300,success,,0.98,0.9805799296245157,0.9797252234227024,0.9805799296245157,0.9799777530589544,11.611302465200424,0.054187905974686146,11.66549037117511,0.12192026525735855,0.9789987082980713
textual_tables,text_sentiment_clean,TabPFN-v2,0,1200,1,900,300,success,,0.98,0.9805799296245157,0.9797252234227024,0.9805799296245157,0.9799777530589544,3.2144760191440582,1.841617508791387,5.056093527935445,0.11818214505910873,0.9781969622733955
textual_tables,text_sentiment_clean,TabPFN-v3,0,1200,1,900,300,success,,0.98,0.9805799296245157,0.9797252234227024,0.9805799296245157,0.9799777530589544,3.6495031593367457,1.6174819618463516,5.266985121183097,0.10831534117460251,0.9807358246848694
textual_tables,text_sentiment_clean,TabICL-v2,0,1200,1,900,300,success,,0.98,0.9805799296245157,0.9797252234227024,0.9805799296245157,0.9799777530589544,0.9857525154948235,0.4063372379168868,1.3920897534117103,0.10686973482370377,0.9803794931183467
textual_tables,text_sentiment_noisy,CatBoost,0,1200,21,900,300,failed,"Bad value for num_feature[non_default_doc_idx=0,feature_idx=0]=""The product was excellent overall."": Cannot convert 'The product was excellent overall.' to float",,,,,,,,,,
textual_tables,text_sentiment_noisy,RealMLP-TD,0,1200,21,900,300,success,,0.9866666666666667,0.9862720627562845,0.9870535714285714,0.9862720627562845,0.9866184932423391,22.376943957991898,0.127770627848804,22.504714585840702,0.0954875573515892,0.994651453021929
textual_tables,text_sentiment_noisy,TabPFN-v2,0,1200,21,900,300,success,,0.9866666666666667,0.9862720627562845,0.9870535714285714,0.9862720627562845,0.9866184932423391,1.0708887428045273,2.534642889164388,3.6055316319689155,0.06454751640558243,0.996278302727759
textual_tables,text_sentiment_noisy,TabPFN-v3,0,1200,21,900,300,success,,0.9866666666666667,0.9862720627562845,0.9870535714285714,0.9862720627562845,0.9866184932423391,3.3336489368230104,0.9525022627785802,4.286151199601591,0.06303442269563675,0.9950080228204671
textual_tables,text_sentiment_noisy,TabICL-v2,0,1200,21,900,300,success,,0.9866666666666667,0.9862720627562845,0.9870535714285714,0.9862720627562845,0.9866184932423391,1.0986848389729857,1.1444208594039083,2.243105698376894,0.06223166733980179,0.9967463005883402
