task,model,n_features,n_train,n_test,seed,status,metric_primary_name,metric_primary,metric_secondary_name,metric_secondary,fit_seconds,predict_seconds,error
regression,tabpfn_v2_5,200,100,500,1,ok,r2,0.9695249196645611,rmse,41.908893354450925,0.4624963749665767,32.29532858298626,
regression,tabpfn_v3,200,100,500,1,ok,r2,0.7949755929112046,rmse,108.7017524699576,1.0077216669451445,18.548814874957316,
regression,tabicl_v2,200,100,500,1,ok,r2,0.6702626022261717,rmse,137.85352208088224,1.9907266659429297,21.89956962503493,
regression,tabpfn_v2_5,200,100,500,2,ok,r2,0.9434217316105895,rmse,59.36339285680895,0.40925662498921156,25.357093416969292,
regression,tabpfn_v3,200,100,500,2,ok,r2,0.7130233976084346,rmse,133.69560586944576,5.3079032090026885,16.508110207971185,
regression,tabicl_v2,200,100,500,2,ok,r2,0.5934169532560973,rmse,159.13603090105173,1.0773682500002906,16.98412354197353,
regression,tabpfn_v2_5,500,100,500,0,ok,r2,0.2177566755567546,rmse,355.99734176133967,0.4461250000167638,39.29146987502463,
regression,tabpfn_v3,500,100,500,0,ok,r2,0.1349380017774655,rmse,374.3686206799699,1.308561332989484,30.236828375025652,
regression,tabicl_v2,500,100,500,0,ok,r2,0.1061746673791929,rmse,380.5416105397845,5.661056167096831,65.46224433300085,
regression,tabpfn_v2_5,500,100,500,1,ok,r2,0.20933256202870876,rmse,388.7418970882014,1.0358815410872921,49.514185999985784,
regression,tabpfn_v3,500,100,500,1,ok,r2,0.1866091902141328,rmse,394.2884483049915,1.2871354579692706,33.75787337508518,
regression,tabicl_v2,500,100,500,1,ok,r2,0.23974441176594263,rmse,381.19240010614834,1.812110541970469,59.99294033308979,
regression,tabpfn_v2_5,500,100,500,2,ok,r2,0.10863749175172954,rmse,409.92833381648063,0.48258337506558746,26.6024321669247,
regression,tabpfn_v3,500,100,500,2,ok,r2,0.09478029338991356,rmse,413.10243577719444,1.2120108749950305,22.958981583011337,
regression,tabicl_v2,500,100,500,2,ok,r2,0.1391721232709361,rmse,402.8458713299809,2.5165336669888347,51.49944162496831,
regression,xgboost,100,100,500,0,ok,r2,0.41848538688469705,rmse,132.66146335146584,0.14739520801231265,0.0011189579963684082,
regression,xgboost,100,100,500,1,ok,r2,0.4066071261569817,rmse,120.09097984421273,0.13074237492401153,0.0005096669774502516,
regression,xgboost,100,100,500,2,ok,r2,0.5077355557572589,rmse,113.22677317172632,0.13120524992700666,0.00048762501683086157,
regression,xgboost,200,100,500,0,ok,r2,0.20316007858777552,rmse,225.97079794186143,0.1535857089329511,0.0004970000591129065,
regression,xgboost,200,100,500,1,ok,r2,0.24677688193456004,rmse,208.35099746088872,0.15703129197936505,0.0004917909391224384,
regression,xgboost,200,100,500,2,ok,r2,0.262172465388414,rmse,214.37360836575778,0.15419574989937246,0.00043875002302229404,
regression,xgboost,500,100,500,0,ok,r2,-0.018102706043473304,rmse,406.1361225080185,0.22719624999444932,0.0005288340616971254,
regression,xgboost,500,100,500,1,ok,r2,0.12115807085699803,rmse,409.84515674403104,0.24235175002831966,0.0006792499916628003,
regression,xgboost,500,100,500,2,ok,r2,-0.017533514896936442,rmse,437.9808449204136,0.24514841695781797,0.0005538329714909196,
