dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
prior_gaussian_control,CatBoost,0,1200,6,1000,200,0.985,0.9851366229606646,0.9848939575830332,0.9851366229606646,0.9849906191369606,1.3021208718419075,0.0013103848323225975,1.30343125667423,0.06520212397330542,0.9989990991892703,success,
prior_gaussian_control,RealMLP-TD,0,1200,6,1000,200,0.995,0.9951456310679612,0.9948979591836735,0.9951456310679612,0.9949968730456535,16.5208810409531,0.05125853419303894,16.57213957514614,0.05953262373805046,1.0,success,
prior_gaussian_control,TabPFN-v2,0,1200,6,1000,200,1.0,1.0,1.0,1.0,1.0,7.771858201362193,2.5375784505158663,10.309436651878059,0.005739377811551094,1.0,success,
prior_gaussian_control,TabPFN-v3,0,1200,6,1000,200,1.0,1.0,1.0,1.0,1.0,11.603017652407289,1.1831880025565624,12.786205654963851,0.0029005298856645823,1.0,success,
prior_gaussian_control,TabICL-v2,0,1200,6,1000,200,1.0,1.0,1.0,1.0,1.0,5.6684860326349735,0.9003288419917226,6.568814874626696,0.0021870622877031565,1.0,success,
prior_pareto_heavy_tail,CatBoost,0,1200,6,1000,200,0.46,0.4604143729356421,0.4604143729356421,0.4604143729356421,0.46,1.2860440872609615,0.0010870657861232758,1.2871311530470848,0.757386973611915,0.4602141927734961,success,
prior_pareto_heavy_tail,RealMLP-TD,0,1200,6,1000,200,0.51,0.4990491442298068,0.49796617426675227,0.4990491442298068,0.4273024777933614,15.128408931195736,0.05041871126741171,15.178827642463148,0.7182905673980713,0.4565108597737964,success,
prior_pareto_heavy_tail,TabPFN-v2,0,1200,6,1000,200,0.465,0.4682714442998699,0.4666876839007986,0.4682714442998699,0.4601276520598401,1.173238161019981,1.126387594267726,2.299625755287707,0.695915162563324,0.4472024822340106,success,
prior_pareto_heavy_tail,TabPFN-v3,0,1200,6,1000,200,0.435,0.44244820338304475,0.42333333333333334,0.44244820338304475,0.40197401497711094,4.017291940748692,0.671059962362051,4.688351903110743,0.6934654116630554,0.48003202882594326,success,
prior_pareto_heavy_tail,TabICL-v2,0,1200,6,1000,200,0.485,0.48528675808227406,0.4852941176470588,0.48528675808227406,0.48498712467811694,0.7953979540616274,0.5853580171242356,1.380755971185863,0.6994958519935608,0.46361725552997696,success,
prior_bimodal_clusters,CatBoost,0,1200,6,1000,200,0.49,0.489840856771094,0.4898489848984898,0.489840856771094,0.4897959183673469,1.1966533986851573,0.001228231005370617,1.197881629690528,0.7397860755497194,0.48994094685216694,success,
prior_bimodal_clusters,RealMLP-TD,0,1200,6,1000,200,0.48,0.4738264437994195,0.4685659334054574,0.4738264437994195,0.45355191256830596,14.769297075457871,0.05316507164388895,14.82246214710176,0.7204164266586304,0.43188869982984684,success,
prior_bimodal_clusters,TabPFN-v2,0,1200,6,1000,200,0.475,0.4785807226503853,0.4772920203735144,0.4785807226503853,0.4691473495285523,1.3435362167656422,1.1092762500047684,2.4528124667704105,0.6962315440177917,0.46827144429986983,success,
prior_bimodal_clusters,TabPFN-v3,0,1200,6,1000,200,0.475,0.4785807226503853,0.4772920203735144,0.4785807226503853,0.4691473495285523,3.892607381567359,0.6879691053181887,4.580576486885548,0.6962552070617676,0.4712241016915224,success,
prior_bimodal_clusters,TabICL-v2,0,1200,6,1000,200,0.47,0.47282554298868984,0.4718331777155307,0.47282554298868984,0.4665861513687601,0.7681713355705142,0.5886218557134271,1.3567931912839413,0.7064285278320312,0.4637173456110499,success,
prior_poisson_counts,CatBoost,0,1200,6,1000,200,0.52,0.5195676108497648,0.5195676108497648,0.5195676108497648,0.5195676108497648,0.8947017202153802,0.0011686598882079124,0.8958703801035881,0.6952873041705518,0.5499949954959463,success,
prior_poisson_counts,RealMLP-TD,0,1200,6,1000,200,0.49,0.4886397757982184,0.4885573142453876,0.4886397757982184,0.48815736651947006,15.310728687793016,0.11129136756062508,15.422020055353642,0.7286502122879028,0.4931438294465018,success,
prior_poisson_counts,TabPFN-v2,0,1200,6,1000,200,0.575,0.5801721549394455,0.5905698778833107,0.5801721549394455,0.5645380260764876,1.268387851305306,1.148233799263835,2.416621650569141,0.6884245276451111,0.5994394955459914,success,
prior_poisson_counts,TabPFN-v3,0,1200,6,1000,200,0.57,0.5795215694124712,0.6317360305090367,0.5795215694124712,0.5274725274725275,3.9013561736792326,0.8256073202937841,4.726963493973017,0.6922831535339355,0.6087979181263137,success,
