iter	Passed	Remaining
471	738	825
472	739	824
473	741	822
474	742	820
475	744	819
476	745	817
477	747	816
478	748	814
479	750	813
480	752	811
481	753	809
482	755	808
483	756	806
484	758	805
485	759	803
486	761	802
487	762	800
488	764	798
489	766	797
490	767	795
491	769	794
492	770	792
493	772	791
494	774	789
495	775	788
496	777	786
497	778	784
498	780	783
499	781	781
500	783	780
501	785	778
502	786	777
503	788	775
504	789	774
505	791	772
506	792	770
507	794	769
508	796	767
509	797	766
510	799	764
511	800	763
512	802	761
513	803	760
514	805	758
515	806	756
516	808	755
517	810	753
518	811	752
519	813	750
520	814	748
521	816	747
522	817	745
523	819	744
524	820	742
525	822	740
526	823	739
527	825	737
528	826	736
529	828	734
530	829	732
531	831	731
532	836	732
533	839	732
534	843	733
535	846	732
536	847	731
537	849	729
538	850	727
539	852	726
540	853	724
541	855	722
542	856	721
543	858	719
544	859	717
545	861	716
546	862	714
547	864	713
548	866	711
549	867	709
550	869	708
551	870	706
552	872	704
553	873	703
554	875	701
555	876	700
556	878	698
557	879	696
558	881	695
559	882	693
560	884	691
561	885	690
562	887	688
563	888	686
564	890	685
565	891	683
566	893	682
567	894	680
568	896	678
569	897	677
570	899	675
571	900	674
572	902	672
573	903	670
574	905	669
575	906	667
576	908	665
577	909	664
578	911	662
579	912	660
580	914	659
581	915	657
582	917	656
583	918	654
584	920	652
585	921	651
586	923	649
587	924	648
588	926	646
589	927	644
590	929	643
591	930	641
592	932	639
593	933	638
594	935	636
595	936	635
596	938	633
597	939	631
598	941	630
599	942	628
600	944	627
601	945	625
602	947	623
603	948	622
604	950	620
605	951	618
606	953	617
607	954	615
608	956	613
609	957	612
610	959	610
611	960	609
612	962	607
613	963	605
614	965	604
615	966	602
616	968	601
617	969	599
618	973	599
619	975	597
620	976	596
621	978	594
622	979	592
623	981	591
624	982	589
625	985	588
626	986	587
627	988	585
628	989	583
629	991	582
630	992	580
631	994	579
632	996	577
633	997	575
634	999	574
635	1000	572
636	1002	571
637	1003	569
638	1005	567
639	1006	566
640	1008	564
641	1009	563
642	1011	561
643	1013	559
644	1014	558
645	1016	556
646	1017	555
647	1019	553
648	1020	552
649	1022	550
650	1023	548
651	1025	547
652	1026	545
653	1028	543
654	1029	542
655	1031	540
656	1032	539
657	1034	537
658	1035	536
659	1037	534
660	1038	532
661	1040	531
662	1041	529
663	1043	528
664	1044	526
665	1046	524
666	1048	523
667	1049	521
668	1051	520
669	1052	518
670	1054	516
671	1055	515
672	1057	513
673	1058	512
674	1060	510
675	1061	508
676	1063	507
677	1064	505
678	1066	504
679	1067	502
680	1069	500
681	1070	499
682	1072	497
683	1073	496
684	1075	494
685	1076	492
686	1078	491
687	1079	489
688	1081	488
689	1082	486
690	1084	484
691	1086	483
692	1087	481
693	1089	480
694	1090	478
695	1092	477
696	1093	475
697	1095	473
698	1096	472
699	1098	470
700	1099	469
701	1101	467
702	1102	465
703	1104	464
704	1105	462
705	1107	461
706	1108	459
707	1110	458
708	1112	456
709	1113	454
710	1115	453
711	1116	451
712	1118	450
713	1119	448
714	1121	446
715	1122	445
716	1124	443
717	1125	442
718	1127	440
719	1129	439
720	1130	437
721	1132	435
722	1133	434
723	1135	432
724	1136	431
725	1138	429
726	1139	428
727	1141	426
728	1142	424
729	1144	423
730	1146	421
731	1148	420
732	1149	418
733	1151	417
734	1152	415
735	1154	414
736	1155	412
737	1157	410
738	1159	409
739	1160	407
740	1162	406
741	1163	404
742	1165	403
743	1166	401
744	1168	399
745	1169	398
746	1171	396
747	1173	395
748	1174	393
749	1176	392
750	1177	390
751	1179	388
752	1180	387
753	1182	385
754	1183	384
755	1185	382
756	1186	381
757	1188	379
758	1189	377
759	1191	376
760	1193	374
761	1194	373
762	1196	371
763	1197	369
764	1199	368
765	1200	366
766	1202	365
767	1203	363
768	1205	362
769	1206	360
770	1208	358
771	1209	357
772	1211	355
773	1212	354
774	1214	352
775	1215	350
776	1217	349
777	1219	347
778	1220	346
779	1222	344
780	1223	343
781	1225	341
782	1226	339
783	1228	338
784	1229	336
785	1231	335
786	1232	333
787	1234	332
788	1235	330
789	1237	328
790	1239	327
791	1240	325
792	1242	324
793	1243	322
794	1245	321
795	1246	319
796	1248	317
797	1249	316
798	1251	314
799	1252	313
800	1254	311
801	1256	310
802	1257	308
803	1259	306
804	1260	305
805	1262	303
806	1263	302
807	1265	300
808	1266	299
809	1268	297
810	1269	295
811	1271	294
812	1273	292
813	1274	291
814	1276	289
815	1277	288
816	1279	286
817	1280	284
818	1282	283
819	1283	281
820	1285	280
821	1286	278
822	1288	277
823	1289	275
824	1291	273
825	1292	272
826	1294	270
827	1295	269
828	1297	267
829	1299	266
830	1300	264
831	1302	262
832	1303	261
833	1305	259
834	1306	258
835	1308	256
836	1310	255
837	1313	253
838	1317	252
839	1319	251
840	1321	249
841	1322	248
842	1324	246
843	1325	245
844	1327	243
845	1328	241
846	1330	240
847	1331	238
848	1333	237
849	1335	235
850	1336	234
851	1338	232
852	1339	230
853	1341	229
854	1342	227
855	1344	226
856	1346	224
857	1348	223
858	1350	221
859	1351	220
860	1353	218
861	1354	216
862	1356	215
863	1357	213
864	1359	212
865	1361	210
866	1362	209
867	1364	207
868	1365	205
869	1367	204
870	1368	202
871	1370	201
872	1371	199
873	1373	197
874	1374	196
875	1376	194
876	1378	193
877	1380	191
878	1382	190
879	1384	188
880	1385	187
881	1387	185
882	1388	184
883	1390	182
884	1391	180
885	1393	179
886	1395	177
887	1396	176
888	1398	174
889	1399	172
890	1401	171
891	1402	169
892	1404	168
893	1405	166
894	1407	165
895	1408	163
896	1410	161
897	1411	160
898	1413	158
899	1414	157
900	1416	155
901	1417	154
902	1419	152
903	1421	150
904	1422	149
905	1424	147
906	1425	146
907	1427	144
908	1428	143
909	1430	141
910	1431	139
911	1433	138
912	1434	136
913	1436	135
914	1437	133
915	1439	132
916	1440	130
917	1442	128
918	1444	127
919	1445	125
920	1447	124
921	1448	122
922	1450	120
923	1451	119
924	1453	117
925	1454	116
926	1456	114
927	1457	113
928	1459	111
929	1460	109
930	1462	108
931	1464	106
932	1465	105
933	1467	103
934	1468	102
935	1470	100
936	1471	98
937	1473	97
938	1474	95
939	1476	94
940	1477	92
941	1479	91
942	1481	89
943	1482	87
944	1484	86
945	1485	84
946	1487	83
947	1488	81
948	1490	80
949	1491	78
950	1493	76
951	1494	75
952	1496	73
953	1498	72
954	1499	70
955	1501	69
956	1502	67
957	1504	65
958	1505	64
959	1507	62
960	1508	61
961	1510	59
962	1512	58
963	1513	56
964	1515	54
965	1516	53
966	1518	51
967	1519	50
968	1521	48
969	1522	47
970	1524	45
971	1525	43
972	1527	42
973	1528	40
974	1530	39
975	1531	37
976	1533	36
977	1534	34
978	1536	32
979	1537	31
980	1539	29
981	1541	28
982	1542	26
983	1544	25
984	1545	23
985	1547	21
986	1548	20
987	1550	18
988	1551	17
989	1553	15
990	1555	14
991	1556	12
992	1558	10
993	1559	9
994	1561	7
995	1562	6
996	1564	4
997	1565	3
998	1567	1
999	1568	0
