iter	Logloss
0	0.6926072115
1	0.6922074905
2	0.6917689471
3	0.6911488235
4	0.6906113234
5	0.6901171639
6	0.6896969021
7	0.6892805611
8	0.6888885151
9	0.6884257732
10	0.6880352618
11	0.6874509864
12	0.68695102
13	0.6864778325
14	0.6861052607
15	0.685689302
16	0.6852061972
17	0.6848753154
18	0.6846235137
19	0.6842921097
20	0.6838542195
21	0.683385198
22	0.6828459387
23	0.6824235968
24	0.6821727748
25	0.6818375455
26	0.681392421
27	0.680999497
28	0.6803723951
29	0.6800235753
30	0.6795782387
31	0.6792231011
32	0.6787678859
33	0.6783714656
34	0.6777244776
35	0.6772436617
36	0.6768273017
37	0.6764972319
38	0.6760863505
39	0.675591415
40	0.6753179607
41	0.6749756113
42	0.6745841437
43	0.6741690468
44	0.6736987827
45	0.6734073836
46	0.6729266906
47	0.6725573719
48	0.6720357449
49	0.6715508354
50	0.6709525966
51	0.6705059089
52	0.6702693685
53	0.6698214114
54	0.6695559625
55	0.6692917632
56	0.6690468294
57	0.6686616478
58	0.6684474663
59	0.6680380501
60	0.6676812241
61	0.6671631462
62	0.6668715534
63	0.6665241046
64	0.6661101326
65	0.6655525443
66	0.6650566615
67	0.6646587283
68	0.6643812279
69	0.6639574406
70	0.6636477861
71	0.6632871078
72	0.6630020228
73	0.662769372
74	0.662235682
75	0.6617415316
76	0.661407848
77	0.6608909497
78	0.6603462506
79	0.6600154867
80	0.6596682198
81	0.6594323322
82	0.6590650797
83	0.6585057896
84	0.6580767201
85	0.6577274969
86	0.6574467813
87	0.6569759355
88	0.6567637042
89	0.6563982127
90	0.6561422889
91	0.6557825315
92	0.6555224457
93	0.6552991888
94	0.6551283045
95	0.6549220998
96	0.6546158845
97	0.6543313866
98	0.6538638026
99	0.6534744093
100	0.6531643622
101	0.6528702202
102	0.6526561418
103	0.6522902257
104	0.6520462912
105	0.6516211039
106	0.6512152698
107	0.6508835416
108	0.6505516919
109	0.6503111735
110	0.6500715984
111	0.6498092331
112	0.6495262296
113	0.6491766024
114	0.6488155386
115	0.6485863059
116	0.6483038915
117	0.6480561199
118	0.6476319498
119	0.6473693012
120	0.6471247919
121	0.6469177647
122	0.6465616203
123	0.6462066756
124	0.6458970705
125	0.6455392811
126	0.6450853391
127	0.6448209615
128	0.6445874876
129	0.6442921746
130	0.6439882637
131	0.6435612598
132	0.6433439534
133	0.6430609849
134	0.6427382609
135	0.6424169628
136	0.6420354282
137	0.6417575968
138	0.641495587
139	0.6412477147
140	0.640927915
141	0.6406341747
142	0.6400949081
143	0.6396852018
144	0.6394940672
145	0.6391372891
146	0.6388720153
147	0.6385838013
148	0.6384335498
149	0.6380968442
150	0.6379253873
151	0.6377474743
