task,model,n_features,n_train,n_test,seed,status,metric_primary_name,metric_primary,metric_secondary_name,metric_secondary,fit_seconds,predict_seconds,error
classification,tabpfn_v2_5,50,100,500,0,ok,accuracy,0.954,roc_auc,0.9899678394854318,0.2437326670042239,2.518767458968796,
classification,tabpfn_v3,50,100,500,0,ok,accuracy,0.976,roc_auc,0.9934558952943247,0.4201676669763401,1.6230375829618424,
classification,tabicl_v2,50,100,500,0,ok,accuracy,0.958,roc_auc,0.9915198643178291,0.2740657089743763,2.5854502909933217,
classification,tabpfn_v2_5,100,100,500,0,ok,accuracy,0.964,roc_auc,0.9837277396438343,0.15115133300423622,4.088252042012755,
classification,tabpfn_v3,100,100,500,0,ok,accuracy,0.968,roc_auc,0.983183730939695,0.39177899999776855,2.258058167004492,
classification,tabicl_v2,100,100,500,0,ok,accuracy,0.966,roc_auc,0.9830717291476664,0.3304816250456497,4.464560959022492,
classification,tabpfn_v2_5,200,100,500,0,ok,accuracy,0.92,roc_auc,0.9803921568627452,0.16667608299758285,7.492387083999347,
classification,tabpfn_v3,200,100,500,0,ok,accuracy,0.968,roc_auc,0.9946538615446178,0.3874649170320481,3.9477418750175275,
classification,tabicl_v2,200,100,500,0,ok,accuracy,0.926,roc_auc,0.9810804321728691,0.564588334003929,9.255076709028799,
classification,tabpfn_v2_5,500,100,500,0,ok,accuracy,0.798,roc_auc,0.8781448050700978,0.22925333300372586,18.944854000001214,
classification,tabpfn_v3,500,100,500,0,ok,accuracy,0.79,roc_auc,0.8673420395621279,0.4699638749589212,3.940883791015949,
classification,tabicl_v2,500,100,500,0,ok,accuracy,0.78,roc_auc,0.8734556046347864,1.3401924170320854,28.17089887498878,
classification,tabpfn_v2_5,1000,100,500,0,ok,accuracy,0.664,roc_auc,0.7473753280839894,0.46861566696316004,26.20304049999686,
classification,tabpfn_v3,1000,100,500,0,ok,accuracy,0.666,roc_auc,0.7623391588246592,0.5502621250343509,5.853759457997512,
classification,tabicl_v2,1000,100,500,0,ok,accuracy,0.688,roc_auc,0.7719416170539658,2.25959245901322,81.91753583302489,
classification,tabpfn_v2_5,2000,100,500,0,ok,accuracy,0.638,roc_auc,0.6977871645946334,1.3224060829961672,29.341674667026382,
classification,tabpfn_v3,2000,100,500,0,ok,accuracy,0.676,roc_auc,0.7311636986191778,1.123274167010095,7.799149041995406,
classification,tabicl_v2,2000,100,500,0,ok,accuracy,0.678,roc_auc,0.7387958207331317,5.200016833026893,247.26735379098682,
classification,tabpfn_v2_5,5000,100,500,0,ok,accuracy,0.554,roc_auc,0.6118177890846254,9.170681583986152,45.81152091699187,
classification,tabpfn_v3,5000,100,500,0,ok,accuracy,0.524,roc_auc,0.6041696667146674,10.360174375004135,18.224715333024506,
classification,tabicl_v2,5000,100,500,0,ok,accuracy,0.61,roc_auc,0.6483303732859726,8.975911292014644,1775.514114959049,
regression,tabpfn_v2_5,50,100,500,0,ok,r2,0.9951894156419179,rmse,13.599614876665965,0.9189985829871148,13.09448033303488,
regression,tabpfn_v3,50,100,500,0,ok,r2,0.9724420145021688,rmse,32.55003246885368,0.9773004170274362,5.106717667018529,
regression,tabicl_v2,50,100,500,0,ok,r2,0.9868347753172718,rmse,22.497892130504678,0.8332673749537207,4.46094220795203,
regression,tabpfn_v2_5,100,100,500,0,ok,r2,0.9896374291219279,rmse,17.709170702528166,0.24171537498477846,9.874968332995195,
regression,tabpfn_v3,100,100,500,0,ok,r2,0.8629605103084593,rmse,64.40021741718326,0.9950681669870391,7.221111999999266,
regression,tabicl_v2,100,100,500,0,ok,r2,0.880536922371835,rmse,60.128631089455126,0.8923207080224529,7.979279041988775,
regression,tabpfn_v2_5,200,100,500,0,ok,r2,0.9555504023961072,rmse,53.370429038113336,0.21723904099781066,16.39926470798673,
regression,tabpfn_v3,200,100,500,0,ok,r2,0.6630810938799605,rmse,146.93642467862344,0.3929180830018595,13.61133579199668,
regression,tabicl_v2,200,100,500,0,ok,r2,0.537932103885075,rmse,172.07575148478628,0.6061782080214471,12.287179915991146,
regression,tabpfn_v2_5,500,100,500,0,ok,r2,0.2177566755567546,rmse,355.99734176133967,0.3153596249758266,26.559715249983128,
regression,tabpfn_v3,500,100,500,0,ok,r2,0.1349380017774655,rmse,374.3686206799699,0.5562509589944966,20.681610041006934,
regression,tabicl_v2,500,100,500,0,ok,r2,0.10617466830435862,rmse,380.54161034284215,1.312465833965689,36.8177293749759,
regression,tabpfn_v2_5,1000,100,500,0,ok,r2,0.01861710802384664,rmse,549.0048466967079,0.5604336669784971,24.450102375005372,
regression,tabpfn_v3,1000,100,500,0,ok,r2,0.011541622372826632,rmse,550.9803751001518,0.576506707991939,21.582570750033483,
regression,tabicl_v2,1000,100,500,0,ok,r2,0.004713771047716531,rmse,552.8800695711813,2.543733207974583,89.24695966602303,
regression,tabpfn_v2_5,2000,100,500,0,ok,r2,0.01206227081083,rmse,734.2601412518677,1.4703100000042468,26.604546916030813,
regression,tabpfn_v3,2000,100,500,0,ok,r2,0.020509786331546764,rmse,731.1141989618322,1.4863669590558857,22.16779774997849,
regression,tabicl_v2,2000,100,500,0,ok,r2,-0.08847728235819674,rmse,770.7168473264662,5.917859083972871,255.4704816659796,
regression,tabpfn_v2_5,5000,100,500,0,ok,r2,0.005639896199382655,rmse,1019.5433709143591,8.132557375007309,37.21367550001014,
regression,tabpfn_v3,5000,100,500,0,ok,r2,0.00555154044267081,rmse,1019.5886666400569,5.847444834013004,50.05832150002243,
regression,tabicl_v2,5000,100,500,0,ok,r2,0.027574891475564134,rmse,1008.235399743646,12.988381624978501,1741.7274629999883,
regression,tabpfn_v2_5,100,100,500,1,ok,r2,0.99096252842339,rmse,14.820494593990633,0.4381495420821011,4.855182750034146,
